GLASNO,A_WT,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,PBO,Li2O,MgO,SRO,BAO,ZNO,P2O5,GEO2,ZRO2,TIO2,TEO2,FemOn,RO20,RO100,RO150,RO300,Year,Refer_Id,Patent,SLeg,1,3,4,5,6,7,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,90,92
20414,20.17131,74,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98622,13.09642,11.41244,8.123845,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,0,0,0,22.69939,0,0,0,7.97546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20409,19.28189,74,0,13,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,16.46804,12.68937,11.05352,7.858878,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,5.521472,0,0,22.69939,0,0,0,2.453988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20386,19.34584,80,0,13,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,19.23621,14.9389,13.07851,9.445391,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,1.226994,0,0,24.53988,0,0,0,3.067485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20407,19.08424,74,0,13,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,14.86806,11.49689,10.03745,7.187332,1979,33,FALSE,,0,0,0,7.97546,0,0,61.34969,0,6.748466,0,0,22.69939,0,0,0,1.226994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20397,19.65394,78,0,13,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,18.96348,14.70322,12.85886,9.257068,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,0.613497,0,0,23.92638,0,0,0,4.907976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20382,18.95054,80,0,13,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,16.34532,12.60369,10.98387,7.820555,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,3.680982,0,0,24.53988,0,0,0,0.613497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20383,19.04937,80,0,13,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,17.13622,13.24642,11.56244,8.273845,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,3.067485,0,0,24.53988,0,0,0,1.226994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20385,19.24702,80,0,13,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,18.76348,14.50322,12.65886,9.057068,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,1.840491,0,0,24.53988,0,0,0,2.453988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20381,20.17131,80,0,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15.35441,11.76097,10.2053,7.167266,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,4.294478,0,0,24.53988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20387,19.44467,80,0,13,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,19.60439,15.19594,13.28743,9.560357,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,0.613497,0,0,24.53988,0,0,0,3.680982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20388,19.54349,80,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19.72711,15.28162,13.35708,9.59868,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,0,0,0,24.53988,0,0,0,4.294478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20394,19.35747,78,0,13,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,17.96803,13.78186,11.96958,8.430424,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,2.453988,0,0,23.92638,0,0,0,3.067485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20396,19.55512,78,0,13,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,18.98166,14.61026,12.71779,9.022035,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,1.226994,0,0,23.92638,0,0,0,4.294478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20384,19.14819,80,0,13,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,17.82258,13.7105,11.9303,8.453778,1979,33,FALSE,,0,0,0,7.97546,0,0,63.19019,0,2.453988,0,0,24.53988,0,0,0,1.840491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20395,19.45629,78,0,13,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,18.58621,14.2889,12.42851,8.79539,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,1.840491,0,0,23.92638,0,0,0,3.680982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20389,18.86334,78,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14.24533,10.91121,9.467808,6.64901,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,5.521472,0,0,23.92638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20393,19.25864,78,0,13,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,17.37258,13.2605,11.4803,8.003778,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,3.067485,0,0,23.92638,0,0,0,2.453988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20392,19.15981,78,0,13,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,16.65895,12.7321,11.03208,7.712167,1979,33,FALSE,,0,0,0,7.97546,0,0,62.57669,0,3.680982,0,0,23.92638,0,0,0,1.840491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
